# NNPDF30 NNLO Q=1.000
# x  w(x)  delta_w(x)
1.753881E-03  1.046278E-03  5.712070E-04
1.770109E-03  1.057075E-03  5.738723E-04
1.786488E-03  1.068666E-03  5.766913E-04
1.803018E-03  1.081100E-03  5.783809E-04
1.819701E-03  1.085630E-03  5.820267E-04
1.836538E-03  1.095132E-03  5.845972E-04
1.853532E-03  1.105019E-03  5.880047E-04
1.870682E-03  1.116004E-03  5.914527E-04
1.887991E-03  1.126170E-03  5.935354E-04
1.905461E-03  1.137482E-03  5.964263E-04
1.923092E-03  1.146767E-03  5.993682E-04
1.940886E-03  1.161398E-03  6.018005E-04
1.958845E-03  1.166001E-03  6.060317E-04
1.976970E-03  1.172095E-03  6.094104E-04
1.995262E-03  1.188005E-03  6.111794E-04
2.013724E-03  1.193624E-03  6.147897E-04
2.032357E-03  1.200726E-03  6.178113E-04
2.051162E-03  1.217980E-03  6.206836E-04
2.070141E-03  1.231826E-03  6.234019E-04
2.089296E-03  1.237763E-03  6.262193E-04
2.108628E-03  1.254947E-03  6.299890E-04
2.128139E-03  1.267511E-03  6.314918E-04
2.147830E-03  1.275805E-03  6.354581E-04
2.167704E-03  1.284368E-03  6.381827E-04
2.187762E-03  1.301564E-03  6.417258E-04
2.208005E-03  1.314945E-03  6.440461E-04
2.228435E-03  1.318469E-03  6.486629E-04
2.249055E-03  1.330333E-03  6.515913E-04
2.269865E-03  1.340557E-03  6.549416E-04
2.290868E-03  1.357565E-03  6.563260E-04
2.312065E-03  1.368265E-03  6.607199E-04
2.333458E-03  1.375895E-03  6.646655E-04
2.355049E-03  1.398222E-03  6.666924E-04
2.376840E-03  1.405611E-03  6.699457E-04
2.398833E-03  1.415688E-03  6.738564E-04
2.421029E-03  1.431248E-03  6.769793E-04
2.443431E-03  1.445484E-03  6.799209E-04
2.466039E-03  1.458124E-03  6.827546E-04
2.488857E-03  1.468272E-03  6.867787E-04
2.511886E-03  1.481618E-03  6.904072E-04
2.535129E-03  1.495502E-03  6.930096E-04
2.558586E-03  1.510947E-03  6.960329E-04
2.582260E-03  1.526922E-03  7.003843E-04
2.606154E-03  1.528543E-03  7.045563E-04
2.630268E-03  1.553708E-03  7.062976E-04
2.654606E-03  1.559231E-03  7.118255E-04
2.679168E-03  1.575648E-03  7.138423E-04
2.703958E-03  1.593771E-03  7.177814E-04
2.728978E-03  1.605558E-03  7.211393E-04
2.754229E-03  1.614330E-03  7.256258E-04
2.779713E-03  1.637430E-03  7.278074E-04
2.805434E-03  1.653096E-03  7.322487E-04
2.831392E-03  1.662335E-03  7.355082E-04
2.857591E-03  1.677477E-03  7.392992E-04
2.884032E-03  1.696565E-03  7.422737E-04
2.910717E-03  1.713090E-03  7.461407E-04
2.937650E-03  1.719773E-03  7.515622E-04
2.964831E-03  1.747460E-03  7.532413E-04
2.992265E-03  1.749535E-03  7.576728E-04
3.019952E-03  1.771177E-03  7.611946E-04
3.047895E-03  1.790074E-03  7.642075E-04
3.076097E-03  1.805253E-03  7.692708E-04
3.104560E-03  1.816903E-03  7.722609E-04
3.133286E-03  1.830861E-03  7.772195E-04
3.162278E-03  1.852294E-03  7.794879E-04
3.191538E-03  1.874877E-03  7.830655E-04
3.221069E-03  1.888460E-03  7.868868E-04
3.250873E-03  1.897314E-03  7.916209E-04
3.280953E-03  1.920523E-03  7.947204E-04
3.311311E-03  1.933852E-03  8.000894E-04
3.341950E-03  1.956890E-03  8.032037E-04
3.372873E-03  1.967999E-03  8.075272E-04
3.404082E-03  1.979953E-03  8.122081E-04
3.435579E-03  2.005858E-03  8.147095E-04
3.467369E-03  2.020455E-03  8.194852E-04
3.499452E-03  2.049062E-03  8.227447E-04
3.531832E-03  2.068906E-03  8.265499E-04
3.564511E-03  2.085501E-03  8.311746E-04
3.597493E-03  2.102977E-03  8.352591E-04
3.630781E-03  2.125030E-03  8.388445E-04
3.664376E-03  2.135942E-03  8.437276E-04
3.698282E-03  2.167134E-03  8.472166E-04
3.732502E-03  2.180670E-03  8.513296E-04
3.767038E-03  2.201277E-03  8.559751E-04
3.801894E-03  2.215491E-03  8.601147E-04
3.837072E-03  2.238416E-03  8.632884E-04
3.872576E-03  2.260702E-03  8.678779E-04
3.908409E-03  2.281279E-03  8.710739E-04
3.944573E-03  2.293281E-03  8.779585E-04
3.981072E-03  2.320755E-03  8.820153E-04
4.017908E-03  2.345791E-03  8.848964E-04
4.055085E-03  2.369082E-03  8.898817E-04
4.092607E-03  2.384095E-03  8.927786E-04
4.130475E-03  2.398736E-03  8.986281E-04
4.168694E-03  2.427216E-03  9.038870E-04
4.207266E-03  2.455147E-03  9.079498E-04
4.246196E-03  2.471396E-03  9.118833E-04
4.285485E-03  2.495443E-03  9.155453E-04
4.325138E-03  2.512987E-03  9.205209E-04
4.365158E-03  2.535580E-03  9.246379E-04
4.405549E-03  2.565985E-03  9.292049E-04
4.446313E-03  2.589893E-03  9.335826E-04
4.487454E-03  2.608394E-03  9.377773E-04
4.528976E-03  2.634627E-03  9.446530E-04
4.570882E-03  2.650056E-03  9.481683E-04
4.613176E-03  2.680315E-03  9.521671E-04
4.655861E-03  2.712125E-03  9.573252E-04
4.698941E-03  2.724023E-03  9.626096E-04
4.742420E-03  2.749563E-03  9.669494E-04
4.786301E-03  2.778180E-03  9.712379E-04
4.830588E-03  2.810194E-03  9.778465E-04
4.875285E-03  2.829531E-03  9.824683E-04
4.920395E-03  2.855588E-03  9.853503E-04
4.965923E-03  2.883899E-03  9.913588E-04
5.011872E-03  2.913554E-03  9.955823E-04
5.058247E-03  2.945955E-03  9.996746E-04
5.105050E-03  2.956424E-03  1.007340E-03
5.152286E-03  2.992661E-03  1.011209E-03
5.199960E-03  3.009467E-03  1.015455E-03
5.248075E-03  3.048716E-03  1.019852E-03
5.296634E-03  3.070409E-03  1.026812E-03
5.345644E-03  3.110792E-03  1.029970E-03
5.395106E-03  3.131809E-03  1.035779E-03
5.445027E-03  3.150923E-03  1.042662E-03
5.495409E-03  3.194280E-03  1.046370E-03
5.546257E-03  3.219950E-03  1.052432E-03
5.597576E-03  3.236501E-03  1.058025E-03
5.649370E-03  3.272688E-03  1.063117E-03
5.701643E-03  3.316589E-03  1.069625E-03
5.754399E-03  3.346309E-03  1.072881E-03
5.807644E-03  3.371172E-03  1.077937E-03
5.861382E-03  3.408196E-03  1.084521E-03
5.915616E-03  3.423605E-03  1.091627E-03
5.970353E-03  3.467078E-03  1.097113E-03
6.025596E-03  3.484825E-03  1.101557E-03
6.081350E-03  3.516011E-03  1.108730E-03
6.137620E-03  3.548330E-03  1.114016E-03
6.194411E-03  3.590236E-03  1.118757E-03
6.251727E-03  3.625454E-03  1.123337E-03
6.309573E-03  3.665319E-03  1.128593E-03
6.367955E-03  3.683627E-03  1.138132E-03
6.426877E-03  3.724437E-03  1.142712E-03
6.486344E-03  3.764006E-03  1.146274E-03
6.546362E-03  3.806638E-03  1.153695E-03
6.606934E-03  3.842036E-03  1.160091E-03
6.668068E-03  3.862191E-03  1.166603E-03
6.729767E-03  3.907369E-03  1.170905E-03
6.792036E-03  3.936805E-03  1.177786E-03
6.854882E-03  3.967814E-03  1.183533E-03
6.918310E-03  4.012168E-03  1.190692E-03
6.982324E-03  4.052078E-03  1.196779E-03
7.046931E-03  4.094686E-03  1.203344E-03
7.112135E-03  4.137379E-03  1.210194E-03
7.177943E-03  4.160414E-03  1.217845E-03
7.244360E-03  4.185986E-03  1.224020E-03
7.311391E-03  4.252270E-03  1.227317E-03
7.379042E-03  4.285397E-03  1.236122E-03
7.447320E-03  4.326371E-03  1.242435E-03
7.516229E-03  4.368095E-03  1.248099E-03
7.585776E-03  4.394074E-03  1.258361E-03
7.655966E-03  4.455007E-03  1.262846E-03
7.726806E-03  4.474852E-03  1.269534E-03
7.798301E-03  4.521609E-03  1.278507E-03
7.870458E-03  4.567228E-03  1.282166E-03
7.943282E-03  4.613170E-03  1.292292E-03
8.016781E-03  4.646497E-03  1.297320E-03
8.090959E-03  4.701415E-03  1.304337E-03
8.165824E-03  4.749780E-03  1.310596E-03
8.241381E-03  4.778605E-03  1.318915E-03
8.317638E-03  4.830689E-03  1.326921E-03
8.394600E-03  4.867930E-03  1.336267E-03
8.472274E-03  4.921972E-03  1.340293E-03
8.550667E-03  4.975379E-03  1.347680E-03
8.629785E-03  5.023659E-03  1.355942E-03
8.709636E-03  5.061971E-03  1.363179E-03
8.790225E-03  5.106814E-03  1.372479E-03
8.871560E-03  5.154227E-03  1.379433E-03
8.953648E-03  5.216068E-03  1.386941E-03
9.036495E-03  5.242913E-03  1.394829E-03
9.120108E-03  5.295310E-03  1.404376E-03
9.204496E-03  5.356676E-03  1.412145E-03
