NNPDF30_nnlo_as_0118	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
2.703958E-04	3.453969E+01	9.515378E+01	9.339389E-03	2.572918E-02
2.728978E-04	3.437618E+01	9.429452E+01	9.381183E-03	2.573277E-02
2.754229E-04	3.421335E+01	9.344629E+01	9.423140E-03	2.573725E-02
2.779713E-04	3.405120E+01	9.260895E+01	9.465258E-03	2.574263E-02
2.805434E-04	3.388972E+01	9.178235E+01	9.507536E-03	2.574893E-02
2.831392E-04	3.372889E+01	9.096635E+01	9.549971E-03	2.575614E-02
2.857591E-04	3.356871E+01	9.016077E+01	9.592563E-03	2.576426E-02
2.884032E-04	3.340917E+01	8.936545E+01	9.635310E-03	2.577328E-02
2.910717E-04	3.325026E+01	8.858021E+01	9.678210E-03	2.578319E-02
2.937650E-04	3.309197E+01	8.780487E+01	9.721263E-03	2.579399E-02
2.964831E-04	3.293430E+01	8.703925E+01	9.764465E-03	2.580567E-02
2.992265E-04	3.277723E+01	8.628317E+01	9.807816E-03	2.581821E-02
3.019952E-04	3.262077E+01	8.553645E+01	9.851314E-03	2.583159E-02
3.047895E-04	3.246489E+01	8.479890E+01	9.894958E-03	2.584581E-02
3.076097E-04	3.230960E+01	8.407036E+01	9.938746E-03	2.586086E-02
3.104560E-04	3.215489E+01	8.335066E+01	9.982676E-03	2.587671E-02
3.133286E-04	3.200074E+01	8.263967E+01	1.002675E-02	2.589337E-02
3.162278E-04	3.184710E+01	8.193772E+01	1.007094E-02	2.591098E-02
3.191538E-04	3.169395E+01	8.124501E+01	1.011524E-02	2.592965E-02
3.221069E-04	3.154130E+01	8.056157E+01	1.015967E-02	2.594944E-02
3.250873E-04	3.138916E+01	7.988745E+01	1.020422E-02	2.597039E-02
3.280953E-04	3.123755E+01	7.922266E+01	1.024889E-02	2.599258E-02
3.311311E-04	3.108647E+01	7.856721E+01	1.029370E-02	2.601605E-02
3.341950E-04	3.093594E+01	7.792111E+01	1.033864E-02	2.604085E-02
3.372873E-04	3.078597E+01	7.728437E+01	1.038372E-02	2.606704E-02
3.404082E-04	3.063656E+01	7.665696E+01	1.042893E-02	2.609466E-02
3.435579E-04	3.048772E+01	7.603886E+01	1.047430E-02	2.612375E-02
3.467369E-04	3.033947E+01	7.543003E+01	1.051981E-02	2.615437E-02
3.499452E-04	3.019181E+01	7.483043E+01	1.056548E-02	2.618655E-02
3.531832E-04	3.004475E+01	7.424000E+01	1.061130E-02	2.622032E-02
3.564511E-04	2.989829E+01	7.365867E+01	1.065728E-02	2.625572E-02
3.597493E-04	2.975246E+01	7.308636E+01	1.070343E-02	2.629277E-02
3.630781E-04	2.960724E+01	7.252298E+01	1.074974E-02	2.633150E-02
3.664376E-04	2.946265E+01	7.196842E+01	1.079622E-02	2.637193E-02
3.698282E-04	2.931870E+01	7.142256E+01	1.084288E-02	2.641408E-02
3.732502E-04	2.917539E+01	7.088529E+01	1.088972E-02	2.645795E-02
3.767038E-04	2.903272E+01	7.035647E+01	1.093674E-02	2.650355E-02
3.801894E-04	2.889071E+01	6.983595E+01	1.098394E-02	2.655089E-02
3.837072E-04	2.874936E+01	6.932357E+01	1.103134E-02	2.659996E-02
3.872576E-04	2.860866E+01	6.881917E+01	1.107892E-02	2.665075E-02
3.908409E-04	2.846864E+01	6.832259E+01	1.112671E-02	2.670326E-02
3.944573E-04	2.832928E+01	6.783363E+01	1.117469E-02	2.675747E-02
3.981072E-04	2.819060E+01	6.735210E+01	1.122288E-02	2.681336E-02
4.017908E-04	2.805260E+01	6.687783E+01	1.127128E-02	2.687090E-02
4.055085E-04	2.791529E+01	6.641059E+01	1.131989E-02	2.693006E-02
4.092607E-04	2.777866E+01	6.595019E+01	1.136871E-02	2.699082E-02
4.130475E-04	2.764271E+01	6.549641E+01	1.141775E-02	2.705313E-02
4.168694E-04	2.750746E+01	6.504904E+01	1.146702E-02	2.711695E-02
4.207266E-04	2.737291E+01	6.460786E+01	1.151651E-02	2.718225E-02
