model:0	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
2.630268E-04  2.012372E-02  1.183615E-02  2.012372E-02  1.183615E-02  -2.822771E-10  0.000000E+00  0.000000E+00  -1.546684E-08  -2.437720E-10  -2.461596E-10  -2.501055E-10  0.000000E+00  0.000000E+00
2.654606E-04  2.021712E-02  1.189108E-02  2.021712E-02  1.189108E-02  -2.811006E-10  0.000000E+00  0.000000E+00  -1.539221E-08  -2.424549E-10  -2.448605E-10  -2.488324E-10  0.000000E+00  0.000000E+00
2.679168E-04  2.031097E-02  1.194626E-02  2.031097E-02  1.194626E-02  -2.799257E-10  0.000000E+00  0.000000E+00  -1.531733E-08  -2.411392E-10  -2.435631E-10  -2.475611E-10  0.000000E+00  0.000000E+00
2.703958E-04  2.040525E-02  1.200171E-02  2.040525E-02  1.200171E-02  -2.787526E-10  0.000000E+00  0.000000E+00  -1.524220E-08  -2.398251E-10  -2.422673E-10  -2.462915E-10  0.000000E+00  0.000000E+00
2.728978E-04  2.049998E-02  1.205741E-02  2.049998E-02  1.205741E-02  -2.775812E-10  0.000000E+00  0.000000E+00  -1.516683E-08  -2.385124E-10  -2.409731E-10  -2.450237E-10  0.000000E+00  0.000000E+00
2.754229E-04  2.059515E-02  1.211337E-02  2.059515E-02  1.211337E-02  -2.764115E-10  0.000000E+00  0.000000E+00  -1.509122E-08  -2.372013E-10  -2.396805E-10  -2.437577E-10  0.000000E+00  0.000000E+00
2.779713E-04  2.069077E-02  1.216960E-02  2.069077E-02  1.216960E-02  -2.752436E-10  0.000000E+00  0.000000E+00  -1.501536E-08  -2.358917E-10  -2.383896E-10  -2.424934E-10  0.000000E+00  0.000000E+00
2.805434E-04  2.078683E-02  1.222609E-02  2.078683E-02  1.222609E-02  -2.740773E-10  0.000000E+00  0.000000E+00  -1.493927E-08  -2.345837E-10  -2.371004E-10  -2.412310E-10  0.000000E+00  0.000000E+00
2.831392E-04  2.088335E-02  1.228284E-02  2.088335E-02  1.228284E-02  -2.729128E-10  0.000000E+00  0.000000E+00  -1.486294E-08  -2.332771E-10  -2.358128E-10  -2.399704E-10  0.000000E+00  0.000000E+00
2.857591E-04  2.098032E-02  1.233986E-02  2.098032E-02  1.233986E-02  -2.717500E-10  0.000000E+00  0.000000E+00  -1.478638E-08  -2.319721E-10  -2.345268E-10  -2.387116E-10  0.000000E+00  0.000000E+00
2.884032E-04  2.107774E-02  1.239715E-02  2.107774E-02  1.239715E-02  -2.705890E-10  0.000000E+00  0.000000E+00  -1.470959E-08  -2.306687E-10  -2.332426E-10  -2.374547E-10  0.000000E+00  0.000000E+00
2.910717E-04  2.117562E-02  1.245470E-02  2.117562E-02  1.245470E-02  -2.694298E-10  0.000000E+00  0.000000E+00  -1.463257E-08  -2.293669E-10  -2.319601E-10  -2.361996E-10  0.000000E+00  0.000000E+00
