MMHT2014nnlo68cl	1.000 GeV
x	q(x)	delta_q	xq(x)	delta_xq(x)
2.381563E-01	1.581227E+00	4.439447E-02	3.765792E-01	1.057282E-02
2.401403E-01	1.570191E+00	4.395315E-02	3.770662E-01	1.055492E-02
2.421242E-01	1.559204E+00	4.352711E-02	3.775210E-01	1.053897E-02
2.441082E-01	1.548263E+00	4.311590E-02	3.779436E-01	1.052495E-02
2.460922E-01	1.537366E+00	4.271904E-02	3.783337E-01	1.051282E-02
2.480762E-01	1.526512E+00	4.233597E-02	3.786912E-01	1.050254E-02
2.500601E-01	1.515700E+00	4.196610E-02	3.790160E-01	1.049405E-02
2.520441E-01	1.504935E+00	4.160824E-02	3.793100E-01	1.048711E-02
2.540281E-01	1.494224E+00	4.126163E-02	3.795749E-01	1.048161E-02
2.560120E-01	1.483566E+00	4.092613E-02	3.798107E-01	1.047758E-02
2.579960E-01	1.472959E+00	4.060154E-02	3.800175E-01	1.047503E-02
2.599800E-01	1.462402E+00	4.028763E-02	3.801952E-01	1.047398E-02
2.619639E-01	1.451894E+00	3.998413E-02	3.803439E-01	1.047440E-02
2.639479E-01	1.441434E+00	3.969073E-02	3.804636E-01	1.047629E-02
2.659319E-01	1.431022E+00	3.940710E-02	3.805544E-01	1.047960E-02
2.679158E-01	1.420657E+00	3.913285E-02	3.806164E-01	1.048431E-02
2.698998E-01	1.410337E+00	3.886761E-02	3.806496E-01	1.049036E-02
2.718838E-01	1.400062E+00	3.861096E-02	3.806540E-01	1.049769E-02
2.738677E-01	1.389831E+00	3.836248E-02	3.806299E-01	1.050624E-02
2.758517E-01	1.379645E+00	3.812173E-02	3.805774E-01	1.051595E-02
2.778357E-01	1.369509E+00	3.788842E-02	3.804983E-01	1.052675E-02
2.798196E-01	1.359422E+00	3.766227E-02	3.803929E-01	1.053864E-02
2.818036E-01	1.349384E+00	3.744297E-02	3.802612E-01	1.055156E-02
2.837876E-01	1.339393E+00	3.723020E-02	3.801031E-01	1.056547E-02
2.857715E-01	1.329449E+00	3.702358E-02	3.799187E-01	1.058029E-02
2.877555E-01	1.319551E+00	3.682275E-02	3.797079E-01	1.059595E-02
2.897395E-01	1.309697E+00	3.662729E-02	3.794709E-01	1.061237E-02
2.917234E-01	1.299887E+00	3.643677E-02	3.792076E-01	1.062946E-02
2.937074E-01	1.290121E+00	3.625077E-02	3.789181E-01	1.064712E-02
2.956914E-01	1.280397E+00	3.606885E-02	3.786023E-01	1.066525E-02
2.976754E-01	1.270715E+00	3.589054E-02	3.782604E-01	1.068373E-02
2.996593E-01	1.261074E+00	3.571541E-02	3.778925E-01	1.070246E-02
3.016433E-01	1.251474E+00	3.554320E-02	3.774989E-01	1.072137E-02
3.036273E-01	1.241919E+00	3.537403E-02	3.770804E-01	1.074052E-02
3.056112E-01	1.232407E+00	3.520774E-02	3.766374E-01	1.075988E-02
3.075952E-01	1.222938E+00	3.504420E-02	3.761699E-01	1.077943E-02
3.095792E-01	1.213512E+00	3.488322E-02	3.756782E-01	1.079912E-02
3.115631E-01	1.204130E+00	3.472464E-02	3.751624E-01	1.081892E-02
3.135471E-01	1.194789E+00	3.456826E-02	3.746227E-01	1.083878E-02
3.155311E-01	1.185491E+00	3.441391E-02	3.740594E-01	1.085866E-02
3.175150E-01	1.176236E+00	3.426138E-02	3.734725E-01	1.087850E-02
3.194990E-01	1.167022E+00	3.411049E-02	3.728623E-01	1.089827E-02
3.214830E-01	1.157850E+00	3.396103E-02	3.722290E-01	1.091789E-02
3.234669E-01	1.148719E+00	3.381281E-02	3.715727E-01	1.093733E-02
3.254509E-01	1.139630E+00	3.366564E-02	3.708937E-01	1.095651E-02
3.274349E-01	1.130582E+00	3.351964E-02	3.701919E-01	1.097550E-02
3.294188E-01	1.121574E+00	3.337481E-02	3.694675E-01	1.099429E-02
3.314028E-01	1.112606E+00	3.323096E-02	3.687209E-01	1.101283E-02
3.333868E-01	1.103680E+00	3.308795E-02	3.679522E-01	1.103109E-02
3.353707E-01	1.094794E+00	3.294560E-02	3.671618E-01	1.104899E-02
3.373547E-01	1.085949E+00	3.280374E-02	3.663499E-01	1.106649E-02
3.393387E-01	1.077144E+00	3.266219E-02	3.655168E-01	1.108354E-02
3.413226E-01	1.068381E+00	3.252078E-02	3.646627E-01	1.110008E-02
3.433066E-01	1.059659E+00	3.237935E-02	3.637878E-01	1.111604E-02
3.452906E-01	1.050977E+00	3.223770E-02	3.628925E-01	1.113138E-02
3.472745E-01	1.042337E+00	3.209568E-02	3.619770E-01	1.114601E-02
3.492585E-01	1.033737E+00	3.195310E-02	3.610414E-01	1.115989E-02
3.512425E-01	1.025177E+00	3.180989E-02	3.600859E-01	1.117298E-02
3.532265E-01	1.016656E+00	3.166631E-02	3.591099E-01	1.118538E-02
3.552104E-01	1.008174E+00	3.152234E-02	3.581138E-01	1.119707E-02
3.571944E-01	9.997296E-01	3.137797E-02	3.570978E-01	1.120803E-02
3.591784E-01	9.913244E-01	3.123313E-02	3.560623E-01	1.121826E-02
3.611623E-01	9.829582E-01	3.108778E-02	3.550075E-01	1.122773E-02
