# MMHT2014 NNLO Q=1.000
# x  w(x)  delta_w(x)
1.721869E-03  6.074247E-04  3.364765E-04
1.737801E-03  6.131174E-04  3.356613E-04
1.753881E-03  6.253109E-04  3.449922E-04
1.770109E-03  6.315758E-04  3.481481E-04
1.786488E-03  6.397193E-04  3.502707E-04
1.803018E-03  6.462911E-04  3.524714E-04
1.819701E-03  6.531125E-04  3.527951E-04
1.836538E-03  6.601715E-04  3.600149E-04
1.853532E-03  6.674983E-04  3.641273E-04
1.870682E-03  6.717602E-04  3.642617E-04
1.887991E-03  6.840025E-04  3.671194E-04
1.905461E-03  6.947968E-04  3.769310E-04
1.923092E-03  6.979200E-04  3.743775E-04
1.940886E-03  7.030289E-04  3.765798E-04
1.958845E-03  7.141832E-04  3.813471E-04
1.976970E-03  7.215044E-04  3.870650E-04
1.995262E-03  7.310379E-04  3.892211E-04
2.013724E-03  7.398556E-04  3.927529E-04
2.032357E-03  7.493612E-04  3.949688E-04
2.051162E-03  7.581381E-04  4.017077E-04
2.070141E-03  7.670751E-04  4.035196E-04
2.089296E-03  7.721454E-04  4.060177E-04
2.108628E-03  7.836492E-04  4.105907E-04
2.128139E-03  7.945342E-04  4.157494E-04
2.147830E-03  8.048089E-04  4.225920E-04
2.167704E-03  8.069502E-04  4.189347E-04
2.187762E-03  8.197212E-04  4.263583E-04
2.208005E-03  8.260934E-04  4.264461E-04
2.228435E-03  8.422296E-04  4.362735E-04
2.249055E-03  8.490927E-04  4.360996E-04
2.269865E-03  8.603002E-04  4.438258E-04
2.290868E-03  8.669564E-04  4.435839E-04
2.312065E-03  8.790818E-04  4.516797E-04
2.333458E-03  8.883914E-04  4.526939E-04
2.355049E-03  8.958958E-04  4.558996E-04
2.376840E-03  9.103935E-04  4.635715E-04
2.398833E-03  9.182736E-04  4.683150E-04
2.421029E-03  9.261878E-04  4.679220E-04
2.443431E-03  9.421794E-04  4.763131E-04
2.466039E-03  9.503987E-04  4.791010E-04
2.488857E-03  9.609597E-04  4.814252E-04
2.511886E-03  9.753980E-04  4.929677E-04
2.535129E-03  9.810582E-04  4.919019E-04
2.558586E-03  9.963173E-04  4.981654E-04
2.582260E-03  1.001948E-03  5.000161E-04
2.606154E-03  1.019442E-03  5.086884E-04
2.630268E-03  1.024894E-03  5.094463E-04
2.654606E-03  1.036900E-03  5.147783E-04
2.679168E-03  1.049676E-03  5.201794E-04
2.703958E-03  1.064056E-03  5.216315E-04
2.728978E-03  1.079787E-03  5.287469E-04
2.754229E-03  1.087397E-03  5.345949E-04
2.779713E-03  1.099687E-03  5.349573E-04
2.805434E-03  1.112110E-03  5.472356E-04
2.831392E-03  1.126526E-03  5.502184E-04
2.857591E-03  1.141127E-03  5.562869E-04
2.884032E-03  1.150062E-03  5.572914E-04
2.910717E-03  1.163294E-03  5.623271E-04
2.937650E-03  1.172899E-03  5.703063E-04
2.964831E-03  1.189798E-03  5.774597E-04
2.992265E-03  1.198459E-03  5.809217E-04
3.019952E-03  1.217681E-03  5.838593E-04
3.047895E-03  1.235319E-03  5.973410E-04
3.076097E-03  1.246194E-03  5.947218E-04
3.104560E-03  1.256045E-03  5.983112E-04
3.133286E-03  1.276145E-03  6.079923E-04
3.162278E-03  1.287619E-03  6.113578E-04
3.191538E-03  1.304454E-03  6.183906E-04
3.221069E-03  1.317449E-03  6.175971E-04
3.250873E-03  1.333363E-03  6.289249E-04
3.280953E-03  1.343151E-03  6.280357E-04
3.311311E-03  1.361786E-03  6.362321E-04
3.341950E-03  1.374987E-03  6.433724E-04
3.372873E-03  1.389521E-03  6.458099E-04
3.404082E-03  1.407628E-03  6.548434E-04
3.435579E-03  1.425561E-03  6.644729E-04
3.467369E-03  1.445484E-03  6.704858E-04
3.499452E-03  1.459568E-03  6.742595E-04
3.531832E-03  1.469431E-03  6.767408E-04
3.564511E-03  1.493982E-03  6.834570E-04
3.597493E-03  1.508780E-03  6.922290E-04
3.630781E-03  1.517407E-03  6.912068E-04
3.664376E-03  1.544804E-03  7.014317E-04
3.698282E-03  1.554166E-03  7.039008E-04
3.732502E-03  1.573430E-03  7.106105E-04
3.767038E-03  1.595935E-03  7.222353E-04
3.801894E-03  1.608754E-03  7.236269E-04
