MMHT2014nlo68cl	1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb  xdb-ub  Exuv  Exdv  Exu  Exd  Exs  Exc  Exb  Exg  Exub  Exdb  Exsb  Excb  Exbb  Exdb-ub
1.355189E-04  8.713547E-03  3.793175E-03  4.462588E-01  4.413603E-01  2.606098E-01  0.000000E+00  0.000000E+00  -4.099911E-01  4.375452E-01  4.375671E-01  2.628431E-01  0.000000E+00  0.000000E+00  2.189727E-05  2.492292E-03  1.797967E-03  5.719400E-02  5.642078E-02  2.372340E-01  0.000000E+00  0.000000E+00  1.547659E+00  5.657088E-02  5.657367E-02  2.376577E-01  0.000000E+00  0.000000E+00  3.787145E-05
1.367729E-04  8.769616E-03  3.821971E-03  4.455265E-01  4.406008E-01  2.601834E-01  0.000000E+00  0.000000E+00  -4.218273E-01  4.367569E-01  4.367788E-01  2.624211E-01  0.000000E+00  0.000000E+00  2.194290E-05  2.503525E-03  1.807951E-03  5.706160E-02  5.628438E-02  2.368465E-01  0.000000E+00  0.000000E+00  1.533615E+00  5.643629E-02  5.643913E-02  2.372711E-01  0.000000E+00  0.000000E+00  3.771684E-05
1.380384E-04  8.826014E-03  3.850975E-03  4.447950E-01  4.398419E-01  2.597572E-01  0.000000E+00  0.000000E+00  -4.335799E-01  4.359690E-01  4.359910E-01  2.619993E-01  0.000000E+00  0.000000E+00  2.198683E-05  2.514786E-03  1.817971E-03  5.692951E-02  5.614827E-02  2.364591E-01  0.000000E+00  0.000000E+00  1.519666E+00  5.630201E-02  5.630491E-02  2.368845E-01  0.000000E+00  0.000000E+00  3.755602E-05
1.393157E-04  8.882748E-03  3.880193E-03  4.440642E-01  4.390837E-01  2.593314E-01  0.000000E+00  0.000000E+00  -4.452484E-01  4.351815E-01  4.352035E-01  2.615779E-01  0.000000E+00  0.000000E+00  2.202922E-05  2.526075E-03  1.828025E-03  5.679774E-02  5.601246E-02  2.360718E-01  0.000000E+00  0.000000E+00  1.505811E+00  5.616805E-02  5.617100E-02  2.364981E-01  0.000000E+00  0.000000E+00  3.738987E-05
1.406048E-04  8.939830E-03  3.909632E-03  4.433342E-01  4.383261E-01  2.589059E-01  0.000000E+00  0.000000E+00  -4.568321E-01  4.343944E-01  4.344164E-01  2.611569E-01  0.000000E+00  0.000000E+00  2.207024E-05  2.537392E-03  1.838116E-03  5.666627E-02  5.587695E-02  2.356846E-01  0.000000E+00  0.000000E+00  1.492051E+00  5.603439E-02  5.603740E-02  2.361117E-01  0.000000E+00  0.000000E+00  3.721927E-05
1.419058E-04  8.997268E-03  3.939299E-03  4.426050E-01  4.375691E-01  2.584808E-01  0.000000E+00  0.000000E+00  -4.683305E-01  4.336077E-01  4.336298E-01  2.607361E-01  0.000000E+00  0.000000E+00  2.211005E-05  2.548739E-03  1.848243E-03  5.653512E-02  5.574174E-02  2.352974E-01  0.000000E+00  0.000000E+00  1.478387E+00  5.590105E-02  5.590411E-02  2.357254E-01  0.000000E+00  0.000000E+00  3.704507E-05
1.432188E-04  9.055074E-03  3.969200E-03  4.418766E-01  4.368128E-01  2.580559E-01  0.000000E+00  0.000000E+00  -4.797430E-01  4.328215E-01  4.328436E-01  2.603157E-01  0.000000E+00  0.000000E+00  2.214882E-05  2.560114E-03  1.858407E-03  5.640428E-02  5.560682E-02  2.349104E-01  0.000000E+00  0.000000E+00  1.464818E+00  5.576802E-02  5.577113E-02  2.353393E-01  0.000000E+00  0.000000E+00  3.686811E-05
1.445440E-04  9.113256E-03  3.999342E-03  4.411489E-01  4.360572E-01  2.576315E-01  0.000000E+00  0.000000E+00  -4.910690E-01  4.320357E-01  4.320579E-01  2.598957E-01  0.000000E+00  0.000000E+00  2.218670E-05  2.571519E-03  1.868609E-03  5.627376E-02  5.547220E-02  2.345234E-01  0.000000E+00  0.000000E+00  1.451347E+00  5.563531E-02  5.563847E-02  2.349532E-01  0.000000E+00  0.000000E+00  3.668921E-05
1.458814E-04  9.171825E-03  4.029733E-03  4.404221E-01  4.353023E-01  2.572073E-01  0.000000E+00  0.000000E+00  -5.023079E-01  4.312503E-01  4.312725E-01  2.594760E-01  0.000000E+00  0.000000E+00  2.222385E-05  2.582954E-03  1.878849E-03  5.614354E-02  5.533788E-02  2.341366E-01  0.000000E+00  0.000000E+00  1.437973E+00  5.550290E-02  5.550612E-02  2.345672E-01  0.000000E+00  0.000000E+00  3.650918E-05
1.472313E-04  9.230790E-03  4.060379E-03  4.396962E-01  4.345480E-01  2.567835E-01  0.000000E+00  0.000000E+00  -5.134593E-01  4.304654E-01  4.304877E-01  2.590566E-01  0.000000E+00  0.000000E+00  2.226045E-05  2.594418E-03  1.889128E-03  5.601365E-02  5.520386E-02  2.337498E-01  0.000000E+00  0.000000E+00  1.424697E+00  5.537082E-02  5.537408E-02  2.341813E-01  0.000000E+00  0.000000E+00  3.632880E-05
1.485936E-04  9.290162E-03  4.091286E-03  4.389711E-01  4.337945E-01  2.563600E-01  0.000000E+00  0.000000E+00  -5.245224E-01  4.296809E-01  4.297032E-01  2.586376E-01  0.000000E+00  0.000000E+00  2.229666E-05  2.605913E-03  1.899447E-03  5.588407E-02  5.507014E-02  2.333631E-01  0.000000E+00  0.000000E+00  1.411519E+00  5.523905E-02  5.524235E-02  2.337955E-01  0.000000E+00  0.000000E+00  3.614882E-05
1.499685E-04  9.349950E-03  4.122462E-03  4.382468E-01  4.330417E-01  2.559369E-01  0.000000E+00  0.000000E+00  -5.354967E-01  4.288969E-01  4.289192E-01  2.582189E-01  0.000000E+00  0.000000E+00  2.233263E-05  2.617439E-03  1.909805E-03  5.575480E-02  5.493673E-02  2.329765E-01  0.000000E+00  0.000000E+00  1.398441E+00  5.510759E-02  5.511094E-02  2.334097E-01  0.000000E+00  0.000000E+00  3.596997E-05
