NNPDFpol 1.1, Q = 1.087 GeV
x	 x(u-d)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.380384E-04	 1.474651E-02	 7.957567E-03	 6.827663E-03	 7.569543E-03	 -7.918850E-03	 7.300393E-03	 -1.797058E-03	 7.585998E-03	 4.612286E-03	 8.970501E-03	 -3.291616E-03	 8.720738E-03	 -8.985292E-04	 3.792999E-03	 2.215377E-03	 4.331818E-03	 -4.627234E-03	 4.821967E-03	 -8.985292E-04	 3.792999E-03
1.393157E-04	 1.478496E-02	 7.970636E-03	 6.842437E-03	 7.579190E-03	 -7.942524E-03	 7.311404E-03	 -1.806731E-03	 7.598881E-03	 4.625663E-03	 8.981556E-03	 -3.307875E-03	 8.734983E-03	 -9.033655E-04	 3.799441E-03	 2.216774E-03	 4.337706E-03	 -4.634650E-03	 4.829307E-03	 -9.033655E-04	 3.799441E-03
1.406048E-04	 1.482343E-02	 7.983588E-03	 6.857212E-03	 7.588611E-03	 -7.966220E-03	 7.322213E-03	 -1.816438E-03	 7.611551E-03	 4.639049E-03	 8.992373E-03	 -3.324178E-03	 8.749040E-03	 -9.082191E-04	 3.805775E-03	 2.218163E-03	 4.343504E-03	 -4.642042E-03	 4.836578E-03	 -9.082191E-04	 3.805775E-03
1.419058E-04	 1.486192E-02	 7.996407E-03	 6.871986E-03	 7.597792E-03	 -7.989937E-03	 7.332808E-03	 -1.826181E-03	 7.623994E-03	 4.652439E-03	 9.002939E-03	 -3.340523E-03	 8.762896E-03	 -9.130907E-04	 3.811997E-03	 2.219546E-03	 4.349206E-03	 -4.649413E-03	 4.843778E-03	 -9.130907E-04	 3.811997E-03
1.432188E-04	 1.490043E-02	 8.009081E-03	 6.886756E-03	 7.606723E-03	 -8.013674E-03	 7.343173E-03	 -1.835962E-03	 7.636202E-03	 4.665830E-03	 9.013244E-03	 -3.356909E-03	 8.776532E-03	 -9.179808E-04	 3.818101E-03	 2.220926E-03	 4.354806E-03	 -4.656764E-03	 4.850904E-03	 -9.179808E-04	 3.818101E-03
1.445440E-04	 1.493895E-02	 8.021595E-03	 6.901521E-03	 7.615390E-03	 -8.037431E-03	 7.353294E-03	 -1.845780E-03	 7.648163E-03	 4.679218E-03	 9.023275E-03	 -3.373335E-03	 8.789934E-03	 -9.228901E-04	 3.824081E-03	 2.222303E-03	 4.360299E-03	 -4.664096E-03	 4.857952E-03	 -9.228901E-04	 3.824081E-03
1.458814E-04	 1.497749E-02	 8.033935E-03	 6.916279E-03	 7.623783E-03	 -8.061207E-03	 7.363156E-03	 -1.855638E-03	 7.659865E-03	 4.692597E-03	 9.033020E-03	 -3.389798E-03	 8.803086E-03	 -9.278191E-04	 3.829933E-03	 2.223682E-03	 4.365679E-03	 -4.671409E-03	 4.864921E-03	 -9.278191E-04	 3.829933E-03
1.472313E-04	 1.501603E-02	 8.046087E-03	 6.931028E-03	 7.631889E-03	 -8.085003E-03	 7.372745E-03	 -1.865537E-03	 7.671299E-03	 4.705965E-03	 9.042467E-03	 -3.406297E-03	 8.815972E-03	 -9.327686E-04	 3.835649E-03	 2.225064E-03	 4.370940E-03	 -4.678705E-03	 4.871806E-03	 -9.327686E-04	 3.835649E-03
1.485936E-04	 1.505458E-02	 8.058036E-03	 6.945766E-03	 7.639697E-03	 -8.108816E-03	 7.382047E-03	 -1.875478E-03	 7.682453E-03	 4.719316E-03	 9.051606E-03	 -3.422831E-03	 8.828575E-03	 -9.377392E-04	 3.841227E-03	 2.226451E-03	 4.376076E-03	 -4.685985E-03	 4.878606E-03	 -9.377392E-04	 3.841227E-03
1.499685E-04	 1.509314E-02	 8.069768E-03	 6.960492E-03	 7.647195E-03	 -8.132648E-03	 7.391048E-03	 -1.885463E-03	 7.693317E-03	 4.732646E-03	 9.060423E-03	 -3.439397E-03	 8.840881E-03	 -9.427314E-04	 3.846658E-03	 2.227845E-03	 4.381081E-03	 -4.693250E-03	 4.885316E-03	 -9.427314E-04	 3.846658E-03
1.513561E-04	 1.513170E-02	 8.081269E-03	 6.975202E-03	 7.654371E-03	 -8.156497E-03	 7.399733E-03	 -1.895492E-03	 7.703879E-03	 4.745952E-03	 9.068907E-03	 -3.455995E-03	 8.852874E-03	 -9.477459E-04	 3.851940E-03	 2.229250E-03	 4.385948E-03	 -4.700502E-03	 4.891934E-03	 -9.477459E-04	 3.851940E-03
1.527566E-04	 1.517026E-02	 8.092525E-03	 6.989896E-03	 7.661213E-03	 -8.180362E-03	 7.408089E-03	 -1.905567E-03	 7.714131E-03	 4.759229E-03	 9.077047E-03	 -3.472622E-03	 8.864536E-03	 -9.527833E-04	 3.857065E-03	 2.230667E-03	 4.390671E-03	 -4.707740E-03	 4.898457E-03	 -9.527833E-04	 3.857065E-03
1.541700E-04	 1.520881E-02	 8.103522E-03	 7.004571E-03	 7.667711E-03	 -8.204244E-03	 7.416101E-03	 -1.915689E-03	 7.724060E-03	 4.772473E-03	 9.084830E-03	 -3.489277E-03	 8.875854E-03	 -9.578443E-04	 3.862030E-03	 2.232098E-03	 4.395243E-03	 -4.714966E-03	 4.904880E-03	 -9.578443E-04	 3.862030E-03
1.555966E-04	 1.524737E-02	 8.114246E-03	 7.019225E-03	 7.673853E-03	 -8.228141E-03	 7.423755E-03	 -1.925859E-03	 7.733656E-03	 4.785680E-03	 9.092244E-03	 -3.505959E-03	 8.886810E-03	 -9.629294E-04	 3.866828E-03	 2.233545E-03	 4.399658E-03	 -4.722182E-03	 4.911201E-03	 -9.629294E-04	 3.866828E-03
1.570363E-04	 1.528591E-02	 8.124683E-03	 7.033857E-03	 7.679628E-03	 -8.252053E-03	 7.431038E-03	 -1.936079E-03	 7.742910E-03	 4.798845E-03	 9.099279E-03	 -3.522665E-03	 8.897389E-03	 -9.680393E-04	 3.871455E-03	 2.235012E-03	 4.403909E-03	 -4.729389E-03	 4.917417E-03	 -9.680393E-04	 3.871455E-03
1.584893E-04	 1.532444E-02	 8.134819E-03	 7.048464E-03	 7.685023E-03	 -8.275980E-03	 7.437935E-03	 -1.946349E-03	 7.751810E-03	 4.811964E-03	 9.105922E-03	 -3.539394E-03	 8.907576E-03	 -9.731746E-04	 3.875905E-03	 2.236500E-03	 4.407989E-03	 -4.736586E-03	 4.923523E-03	 -9.731746E-04	 3.875905E-03
1.599558E-04	 1.536298E-02	 8.144753E-03	 7.063060E-03	 7.690113E-03	 -8.299925E-03	 7.444535E-03	 -1.956663E-03	 7.760417E-03	 4.825063E-03	 9.112248E-03	 -3.556156E-03	 8.917473E-03	 -9.783316E-04	 3.880208E-03	 2.237997E-03	 4.411941E-03	 -4.743769E-03	 4.929552E-03	 -9.783316E-04	 3.880208E-03
1.614359E-04	 1.540155E-02	 8.154584E-03	 7.077656E-03	 7.694968E-03	 -8.323891E-03	 7.450924E-03	 -1.967013E-03	 7.768790E-03	 4.838165E-03	 9.118333E-03	 -3.572960E-03	 8.927183E-03	 -9.835067E-04	 3.884395E-03	 2.239491E-03	 4.415808E-03	 -4.750931E-03	 4.935535E-03	 -9.835067E-04	 3.884395E-03
1.629296E-04	 1.544013E-02	 8.164295E-03	 7.092250E-03	 7.699578E-03	 -8.347877E-03	 7.457090E-03	 -1.977401E-03	 7.776921E-03	 4.851267E-03	 9.124166E-03	 -3.589805E-03	 8.936691E-03	 -9.887006E-04	 3.888461E-03	 2.240983E-03	 4.419583E-03	 -4.758072E-03	 4.941466E-03	 -9.887006E-04	 3.888461E-03
1.644372E-04	 1.547872E-02	 8.173869E-03	 7.106839E-03	 7.703933E-03	 -8.371884E-03	 7.463018E-03	 -1.987828E-03	 7.784802E-03	 4.864363E-03	 9.129735E-03	 -3.606689E-03	 8.945982E-03	 -9.939139E-04	 3.892401E-03	 2.242476E-03	 4.423256E-03	 -4.765195E-03	 4.947341E-03	 -9.939139E-04	 3.892401E-03
1.659587E-04	 1.551733E-02	 8.183289E-03	 7.121422E-03	 7.708020E-03	 -8.395910E-03	 7.468696E-03	 -1.998295E-03	 7.792424E-03	 4.877450E-03	 9.135030E-03	 -3.623610E-03	 8.955039E-03	 -9.991473E-04	 3.896212E-03	 2.243972E-03	 4.426821E-03	 -4.772300E-03	 4.953156E-03	 -9.991473E-04	 3.896212E-03
1.674943E-04	 1.555595E-02	 8.192540E-03	 7.135995E-03	 7.711830E-03	 -8.419955E-03	 7.474111E-03	 -2.008803E-03	 7.799778E-03	 4.890522E-03	 9.140039E-03	 -3.640566E-03	 8.963847E-03	 -1.004401E-03	 3.899889E-03	 2.245473E-03	 4.430269E-03	 -4.779389E-03	 4.958905E-03	 -1.004401E-03	 3.899889E-03
1.690441E-04	 1.559457E-02	 8.201606E-03	 7.150556E-03	 7.715352E-03	 -8.444017E-03	 7.479248E-03	 -2.019354E-03	 7.806857E-03	 4.903576E-03	 9.144752E-03	 -3.657555E-03	 8.972391E-03	 -1.009677E-03	 3.903429E-03	 2.246981E-03	 4.433592E-03	 -4.786462E-03	 4.964583E-03	 -1.009677E-03	 3.903429E-03
1.706082E-04	 1.563320E-02	 8.210469E-03	 7.165103E-03	 7.718576E-03	 -8.468097E-03	 7.484096E-03	 -2.029949E-03	 7.813652E-03	 4.916606E-03	 9.149158E-03	 -3.674577E-03	 8.980655E-03	 -1.014975E-03	 3.906826E-03	 2.248498E-03	 4.436782E-03	 -4.793521E-03	 4.970186E-03	 -1.014975E-03	 3.906826E-03
1.721869E-04	 1.567183E-02	 8.219115E-03	 7.179633E-03	 7.721490E-03	 -8.492194E-03	 7.488642E-03	 -2.040590E-03	 7.820155E-03	 4.929608E-03	 9.153246E-03	 -3.691628E-03	 8.988625E-03	 -1.020295E-03	 3.910078E-03	 2.250026E-03	 4.439831E-03	 -4.800567E-03	 4.975709E-03	 -1.020295E-03	 3.910078E-03
1.737801E-04	 1.571045E-02	 8.227528E-03	 7.194144E-03	 7.724086E-03	 -8.516307E-03	 7.492872E-03	 -2.051278E-03	 7.826358E-03	 4.942577E-03	 9.157006E-03	 -3.708707E-03	 8.996285E-03	 -1.025639E-03	 3.913179E-03	 2.251567E-03	 4.442730E-03	 -4.807600E-03	 4.981148E-03	 -1.025639E-03	 3.913179E-03
