Q0 = 1.087 GeV	 Q = 1.581 GeV
x	 x*(uv-dv)
2.831E-03	6.111E-03	6.263E-03
2.858E-03	6.163E-03	6.316E-03
2.884E-03	6.215E-03	6.369E-03
2.911E-03	6.269E-03	6.422E-03
2.938E-03	6.322E-03	6.476E-03
2.965E-03	6.376E-03	6.531E-03
2.992E-03	6.431E-03	6.585E-03
3.020E-03	6.486E-03	6.641E-03
3.048E-03	6.541E-03	6.697E-03
3.076E-03	6.597E-03	6.753E-03
3.105E-03	6.654E-03	6.810E-03
3.133E-03	6.711E-03	6.867E-03
3.162E-03	6.768E-03	6.925E-03
3.192E-03	6.826E-03	6.983E-03
3.221E-03	6.884E-03	7.042E-03
3.251E-03	6.943E-03	7.101E-03
3.281E-03	7.003E-03	7.161E-03
3.311E-03	7.063E-03	7.222E-03
3.342E-03	7.124E-03	7.283E-03
3.373E-03	7.185E-03	7.344E-03
3.404E-03	7.246E-03	7.406E-03
3.436E-03	7.309E-03	7.469E-03
3.467E-03	7.371E-03	7.532E-03
3.499E-03	7.435E-03	7.595E-03
3.532E-03	7.498E-03	7.659E-03
3.565E-03	7.563E-03	7.724E-03
3.597E-03	7.628E-03	7.790E-03
3.631E-03	7.693E-03	7.855E-03
3.664E-03	7.760E-03	7.922E-03
3.698E-03	7.826E-03	7.989E-03
3.733E-03	7.894E-03	8.057E-03
3.767E-03	7.962E-03	8.125E-03
3.802E-03	8.030E-03	8.194E-03
3.837E-03	8.099E-03	8.263E-03
3.873E-03	8.169E-03	8.333E-03
3.908E-03	8.239E-03	8.404E-03
3.945E-03	8.310E-03	8.475E-03
3.981E-03	8.382E-03	8.547E-03
4.018E-03	8.454E-03	8.620E-03
4.055E-03	8.527E-03	8.693E-03
4.093E-03	8.601E-03	8.767E-03
4.130E-03	8.675E-03	8.841E-03
4.169E-03	8.750E-03	8.916E-03
4.207E-03	8.825E-03	8.992E-03
4.246E-03	8.901E-03	9.069E-03
4.285E-03	8.978E-03	9.146E-03
4.325E-03	9.056E-03	9.224E-03
4.365E-03	9.134E-03	9.302E-03
4.406E-03	9.213E-03	9.381E-03
4.446E-03	9.293E-03	9.461E-03
4.487E-03	9.373E-03	9.542E-03
4.529E-03	9.454E-03	9.623E-03
4.571E-03	9.536E-03	9.705E-03
4.613E-03	9.619E-03	9.788E-03
4.656E-03	9.702E-03	9.872E-03
4.699E-03	9.786E-03	9.956E-03
4.742E-03	9.871E-03	1.004E-02
4.786E-03	9.956E-03	1.013E-02
4.831E-03	1.004E-02	1.021E-02
4.875E-03	1.013E-02	1.030E-02
4.920E-03	1.022E-02	1.039E-02
4.966E-03	1.031E-02	1.048E-02
5.012E-03	1.040E-02	1.057E-02
5.058E-03	1.049E-02	1.066E-02
5.105E-03	1.058E-02	1.075E-02
5.152E-03	1.067E-02	1.084E-02
5.200E-03	1.076E-02	1.093E-02
5.248E-03	1.085E-02	1.103E-02
5.297E-03	1.095E-02	1.112E-02
5.346E-03	1.104E-02	1.122E-02
5.395E-03	1.114E-02	1.131E-02
5.445E-03	1.124E-02	1.141E-02
5.495E-03	1.134E-02	1.151E-02
5.546E-03	1.143E-02	1.161E-02
5.598E-03	1.153E-02	1.171E-02
5.649E-03	1.163E-02	1.181E-02
5.702E-03	1.174E-02	1.191E-02
5.754E-03	1.184E-02	1.201E-02
5.808E-03	1.194E-02	1.212E-02
5.861E-03	1.205E-02	1.222E-02
5.916E-03	1.215E-02	1.233E-02
5.970E-03	1.226E-02	1.243E-02
6.026E-03	1.236E-02	1.254E-02
6.081E-03	1.247E-02	1.265E-02
6.138E-03	1.258E-02	1.276E-02
6.194E-03	1.269E-02	1.287E-02
6.252E-03	1.280E-02	1.298E-02
6.310E-03	1.291E-02	1.309E-02
6.368E-03	1.303E-02	1.320E-02
6.427E-03	1.314E-02	1.332E-02
6.486E-03	1.326E-02	1.343E-02
6.546E-03	1.337E-02	1.355E-02
6.607E-03	1.349E-02	1.367E-02
6.668E-03	1.361E-02	1.379E-02
