NNPDFpol 1.1, Q = 3.162 GeV
x	 x(uv-dv)	 error
1.659587E-03	 1.564266E-02	 1.724289E-02
1.674943E-03	 1.571971E-02	 1.727197E-02
1.690441E-03	 1.579727E-02	 1.730140E-02
1.706082E-03	 1.587534E-02	 1.733117E-02
1.721869E-03	 1.595396E-02	 1.736126E-02
1.737801E-03	 1.603313E-02	 1.739168E-02
1.753881E-03	 1.611272E-02	 1.742237E-02
1.770109E-03	 1.619258E-02	 1.745331E-02
1.786488E-03	 1.627276E-02	 1.748452E-02
1.803018E-03	 1.635327E-02	 1.751603E-02
1.819701E-03	 1.643414E-02	 1.754784E-02
1.836538E-03	 1.651542E-02	 1.757999E-02
1.853532E-03	 1.659712E-02	 1.761248E-02
1.870682E-03	 1.667927E-02	 1.764533E-02
1.887991E-03	 1.676191E-02	 1.767856E-02
1.905461E-03	 1.684507E-02	 1.771218E-02
1.923092E-03	 1.692876E-02	 1.774619E-02
1.940886E-03	 1.701304E-02	 1.778061E-02
1.958845E-03	 1.709791E-02	 1.781544E-02
1.976970E-03	 1.718342E-02	 1.785070E-02
1.995262E-03	 1.726959E-02	 1.788638E-02
2.013724E-03	 1.735646E-02	 1.792249E-02
2.032357E-03	 1.744404E-02	 1.795903E-02
2.051162E-03	 1.753238E-02	 1.799601E-02
2.070141E-03	 1.762150E-02	 1.803342E-02
2.089296E-03	 1.771143E-02	 1.807126E-02
2.108628E-03	 1.780203E-02	 1.810950E-02
2.128139E-03	 1.789317E-02	 1.814809E-02
2.147830E-03	 1.798486E-02	 1.818704E-02
2.167704E-03	 1.807712E-02	 1.822634E-02
2.187762E-03	 1.816998E-02	 1.826598E-02
2.208005E-03	 1.826344E-02	 1.830597E-02
2.228435E-03	 1.835754E-02	 1.834630E-02
2.249055E-03	 1.845228E-02	 1.838696E-02
2.269865E-03	 1.854769E-02	 1.842795E-02
2.290868E-03	 1.864379E-02	 1.846926E-02
2.312065E-03	 1.874060E-02	 1.851090E-02
2.333458E-03	 1.883813E-02	 1.855284E-02
2.355049E-03	 1.893642E-02	 1.859509E-02
2.376840E-03	 1.903546E-02	 1.863764E-02
2.398833E-03	 1.913530E-02	 1.868048E-02
2.421029E-03	 1.923593E-02	 1.872361E-02
2.443431E-03	 1.933740E-02	 1.876702E-02
2.466039E-03	 1.943970E-02	 1.881069E-02
2.488857E-03	 1.954287E-02	 1.885463E-02
2.511886E-03	 1.964692E-02	 1.889883E-02
2.535129E-03	 1.975176E-02	 1.894330E-02
2.558586E-03	 1.985729E-02	 1.898808E-02
2.582260E-03	 1.996353E-02	 1.903316E-02
2.606154E-03	 2.007049E-02	 1.907851E-02
2.630268E-03	 2.017819E-02	 1.912413E-02
2.654606E-03	 2.028664E-02	 1.917000E-02
2.679168E-03	 2.039584E-02	 1.921613E-02
2.703958E-03	 2.050583E-02	 1.926248E-02
2.728978E-03	 2.061661E-02	 1.930907E-02
2.754229E-03	 2.072819E-02	 1.935587E-02
2.779713E-03	 2.084059E-02	 1.940288E-02
2.805434E-03	 2.095382E-02	 1.945009E-02
2.831392E-03	 2.106790E-02	 1.949749E-02
2.857591E-03	 2.118284E-02	 1.954508E-02
2.884032E-03	 2.129866E-02	 1.959284E-02
2.910717E-03	 2.141537E-02	 1.964077E-02
2.937650E-03	 2.153297E-02	 1.968887E-02
2.964831E-03	 2.165150E-02	 1.973713E-02
2.992265E-03	 2.177096E-02	 1.978553E-02
3.019952E-03	 2.189136E-02	 1.983408E-02
3.047895E-03	 2.201262E-02	 1.988282E-02
3.076097E-03	 2.213465E-02	 1.993178E-02
3.104560E-03	 2.225747E-02	 1.998095E-02
3.133286E-03	 2.238110E-02	 2.003034E-02
3.162278E-03	 2.250556E-02	 2.007995E-02
3.191538E-03	 2.263085E-02	 2.012977E-02
3.221069E-03	 2.275700E-02	 2.017979E-02
3.250873E-03	 2.288401E-02	 2.023003E-02
3.280953E-03	 2.301192E-02	 2.028047E-02
3.311311E-03	 2.314073E-02	 2.033111E-02
3.341950E-03	 2.327046E-02	 2.038196E-02
3.372873E-03	 2.340112E-02	 2.043301E-02
3.404082E-03	 2.353273E-02	 2.048427E-02
3.435579E-03	 2.366531E-02	 2.053572E-02
3.467369E-03	 2.379888E-02	 2.058738E-02
3.499452E-03	 2.393345E-02	 2.063924E-02
3.531832E-03	 2.406903E-02	 2.069129E-02
3.564511E-03	 2.420564E-02	 2.074355E-02
3.597493E-03	 2.434330E-02	 2.079600E-02
3.630781E-03	 2.448203E-02	 2.084866E-02
3.664376E-03	 2.462168E-02	 2.090159E-02
3.698282E-03	 2.476212E-02	 2.095484E-02
3.732502E-03	 2.490338E-02	 2.100842E-02
3.767038E-03	 2.504550E-02	 2.106231E-02
