NNPDFpol 1.1, Q = 1.000 GeV
x	 x(u+-d+)	 error	 xu+	 error	 xd+	 error	 xs+	 error	 xu	 error	 xd	 error	 xs	 error	 xub	 error	 xdb	 error	 xsb	 error
1.472313E-04	 1.473186E-02	 8.086181E-03	 7.226141E-03	 6.471494E-03	 -7.505716E-03	 6.668191E-03	 -1.363668E-03	 5.874770E-03	 4.983666E-03	 7.972304E-03	 -2.901431E-03	 8.240317E-03	 -6.818341E-04	 2.937385E-03	 2.242475E-03	 4.400092E-03	 -4.604285E-03	 4.845925E-03	 -6.818341E-04	 2.937385E-03
1.485936E-04	 1.476977E-02	 8.099022E-03	 7.241727E-03	 6.479449E-03	 -7.528048E-03	 6.677492E-03	 -1.372113E-03	 5.885244E-03	 4.997896E-03	 7.981499E-03	 -2.916506E-03	 8.254256E-03	 -6.860565E-04	 2.942622E-03	 2.243831E-03	 4.406033E-03	 -4.611542E-03	 4.853233E-03	 -6.860565E-04	 2.942622E-03
1.499685E-04	 1.480769E-02	 8.111632E-03	 7.257268E-03	 6.487206E-03	 -7.550422E-03	 6.686574E-03	 -1.380627E-03	 5.895590E-03	 5.012076E-03	 7.990471E-03	 -2.931639E-03	 8.267964E-03	 -6.903137E-04	 2.947795E-03	 2.245192E-03	 4.411836E-03	 -4.618783E-03	 4.860437E-03	 -6.903137E-04	 2.947795E-03
1.513561E-04	 1.484560E-02	 8.123996E-03	 7.272761E-03	 6.494754E-03	 -7.572841E-03	 6.695426E-03	 -1.389213E-03	 5.905801E-03	 5.026199E-03	 7.999211E-03	 -2.946830E-03	 8.281423E-03	 -6.946067E-04	 2.952900E-03	 2.246563E-03	 4.417493E-03	 -4.626011E-03	 4.867530E-03	 -6.946067E-04	 2.952900E-03
1.527566E-04	 1.488351E-02	 8.136098E-03	 7.288205E-03	 6.502081E-03	 -7.595302E-03	 6.704034E-03	 -1.397873E-03	 5.915870E-03	 5.040261E-03	 8.007705E-03	 -2.962077E-03	 8.294620E-03	 -6.989364E-04	 2.957935E-03	 2.247944E-03	 4.422996E-03	 -4.633225E-03	 4.874507E-03	 -6.989364E-04	 2.957935E-03
1.541700E-04	 1.492140E-02	 8.147924E-03	 7.303596E-03	 6.509177E-03	 -7.617807E-03	 6.712386E-03	 -1.406608E-03	 5.925788E-03	 5.054258E-03	 8.015945E-03	 -2.977381E-03	 8.307538E-03	 -7.033038E-04	 2.962894E-03	 2.249337E-03	 4.428335E-03	 -4.640427E-03	 4.881363E-03	 -7.033038E-04	 2.962894E-03
1.555966E-04	 1.495929E-02	 8.159456E-03	 7.318930E-03	 6.516031E-03	 -7.640356E-03	 6.720469E-03	 -1.415420E-03	 5.935550E-03	 5.068184E-03	 8.023918E-03	 -2.992739E-03	 8.320162E-03	 -7.077098E-04	 2.967775E-03	 2.250746E-03	 4.433503E-03	 -4.647617E-03	 4.888091E-03	 -7.077098E-04	 2.967775E-03
1.570363E-04	 1.499715E-02	 8.170681E-03	 7.334206E-03	 6.522634E-03	 -7.662948E-03	 6.728271E-03	 -1.424311E-03	 5.945146E-03	 5.082034E-03	 8.031613E-03	 -3.008150E-03	 8.332476E-03	 -7.121553E-04	 2.972573E-03	 2.252172E-03	 4.438490E-03	 -4.654797E-03	 4.894688E-03	 -7.121553E-04	 2.972573E-03
1.584893E-04	 1.503500E-02	 8.181584E-03	 7.349421E-03	 6.528973E-03	 -7.685583E-03	 6.735779E-03	 -1.433282E-03	 5.954571E-03	 5.095804E-03	 8.039021E-03	 -3.023615E-03	 8.344466E-03	 -7.166412E-04	 2.977285E-03	 2.253617E-03	 4.443288E-03	 -4.661968E-03	 4.901147E-03	 -7.166412E-04	 2.977285E-03
1.599558E-04	 1.507285E-02	 8.192255E-03	 7.364590E-03	 6.535115E-03	 -7.708261E-03	 6.743071E-03	 -1.442324E-03	 5.963874E-03	 5.109520E-03	 8.046209E-03	 -3.039137E-03	 8.356227E-03	 -7.211621E-04	 2.981937E-03	 2.255070E-03	 4.447937E-03	 -4.669124E-03	 4.907498E-03	 -7.211621E-04	 2.981937E-03
1.614359E-04	 1.511071E-02	 8.202788E-03	 7.379729E-03	 6.541127E-03	 -7.730982E-03	 6.750226E-03	 -1.451425E-03	 5.973105E-03	 5.123210E-03	 8.053250E-03	 -3.054721E-03	 8.367855E-03	 -7.257127E-04	 2.986553E-03	 2.256518E-03	 4.452478E-03	 -4.676260E-03	 4.913771E-03	 -7.257127E-04	 2.986553E-03
1.629296E-04	 1.514858E-02	 8.213170E-03	 7.394834E-03	 6.546997E-03	 -7.753744E-03	 6.757231E-03	 -1.460588E-03	 5.982256E-03	 5.136869E-03	 8.060131E-03	 -3.070366E-03	 8.379335E-03	 -7.302940E-04	 2.991128E-03	 2.257965E-03	 4.456908E-03	 -4.683378E-03	 4.919967E-03	 -7.302940E-04	 2.991128E-03
1.644372E-04	 1.518645E-02	 8.223389E-03	 7.409904E-03	 6.552715E-03	 -7.776549E-03	 6.764073E-03	 -1.469814E-03	 5.991318E-03	 5.150493E-03	 8.066844E-03	 -3.086072E-03	 8.390655E-03	 -7.349069E-04	 2.995659E-03	 2.259411E-03	 4.461222E-03	 -4.690477E-03	 4.926082E-03	 -7.349069E-04	 2.995659E-03
1.659587E-04	 1.522433E-02	 8.233432E-03	 7.424935E-03	 6.558271E-03	 -7.799397E-03	 6.770739E-03	 -1.479105E-03	 6.000284E-03	 5.164076E-03	 8.073377E-03	 -3.101837E-03	 8.401801E-03	 -7.395524E-04	 3.000142E-03	 2.260859E-03	 4.465414E-03	 -4.697560E-03	 4.932116E-03	 -7.395524E-04	 3.000142E-03
1.674943E-04	 1.526221E-02	 8.243286E-03	 7.439926E-03	 6.563656E-03	 -7.822288E-03	 6.777218E-03	 -1.488463E-03	 6.009145E-03	 5.177614E-03	 8.079720E-03	 -3.117662E-03	 8.412759E-03	 -7.442315E-04	 3.004572E-03	 2.262312E-03	 4.469479E-03	 -4.704626E-03	 4.938066E-03	 -7.442315E-04	 3.004572E-03
1.690441E-04	 1.530009E-02	 8.252939E-03	 7.454872E-03	 6.568858E-03	 -7.845222E-03	 6.783497E-03	 -1.497890E-03	 6.017893E-03	 5.191102E-03	 8.085863E-03	 -3.133546E-03	 8.423516E-03	 -7.489452E-04	 3.008946E-03	 2.263770E-03	 4.473413E-03	 -4.711676E-03	 4.943930E-03	 -7.489452E-04	 3.008946E-03
1.706082E-04	 1.533797E-02	 8.262379E-03	 7.469773E-03	 6.573868E-03	 -7.868200E-03	 6.789563E-03	 -1.507389E-03	 6.026520E-03	 5.204536E-03	 8.091795E-03	 -3.149487E-03	 8.434058E-03	 -7.536944E-04	 3.013260E-03	 2.265236E-03	 4.477211E-03	 -4.718712E-03	 4.949707E-03	 -7.536944E-04	 3.013260E-03
1.721869E-04	 1.537585E-02	 8.271593E-03	 7.484624E-03	 6.578675E-03	 -7.891221E-03	 6.795404E-03	 -1.516960E-03	 6.035019E-03	 5.217912E-03	 8.097506E-03	 -3.165487E-03	 8.444372E-03	 -7.584801E-04	 3.017509E-03	 2.266712E-03	 4.480866E-03	 -4.725735E-03	 4.955395E-03	 -7.584801E-04	 3.017509E-03
1.737801E-04	 1.541371E-02	 8.280568E-03	 7.499424E-03	 6.583270E-03	 -7.914287E-03	 6.801008E-03	 -1.526606E-03	 6.043381E-03	 5.231223E-03	 8.102986E-03	 -3.181542E-03	 8.454443E-03	 -7.633032E-04	 3.021691E-03	 2.268200E-03	 4.484374E-03	 -4.732744E-03	 4.960991E-03	 -7.633032E-04	 3.021691E-03
1.753881E-04	 1.545157E-02	 8.289293E-03	 7.514169E-03	 6.587644E-03	 -7.937396E-03	 6.806362E-03	 -1.536330E-03	 6.051600E-03	 5.244466E-03	 8.108224E-03	 -3.197655E-03	 8.464260E-03	 -7.681648E-04	 3.025800E-03	 2.269702E-03	 4.487729E-03	 -4.739742E-03	 4.966495E-03	 -7.681648E-04	 3.025800E-03
1.770109E-04	 1.548941E-02	 8.297756E-03	 7.528857E-03	 6.591786E-03	 -7.960551E-03	 6.811455E-03	 -1.546132E-03	 6.059667E-03	 5.257637E-03	 8.113210E-03	 -3.213822E-03	 8.473807E-03	 -7.730658E-04	 3.029833E-03	 2.271220E-03	 4.490926E-03	 -4.746728E-03	 4.971903E-03	 -7.730658E-04	 3.029833E-03
1.786488E-04	 1.552723E-02	 8.305944E-03	 7.543485E-03	 6.595686E-03	 -7.983749E-03	 6.816275E-03	 -1.556014E-03	 6.067574E-03	 5.270730E-03	 8.117934E-03	 -3.230045E-03	 8.483072E-03	 -7.780072E-04	 3.033787E-03	 2.272756E-03	 4.493959E-03	 -4.753704E-03	 4.977214E-03	 -7.780072E-04	 3.033787E-03
1.803018E-04	 1.556504E-02	 8.313846E-03	 7.558051E-03	 6.599335E-03	 -8.006993E-03	 6.820809E-03	 -1.565980E-03	 6.075315E-03	 5.283740E-03	 8.122385E-03	 -3.246322E-03	 8.492041E-03	 -7.829899E-04	 3.037658E-03	 2.274311E-03	 4.496821E-03	 -4.760671E-03	 4.982425E-03	 -7.829899E-04	 3.037658E-03
1.819701E-04	 1.560283E-02	 8.321449E-03	 7.572552E-03	 6.602725E-03	 -8.030282E-03	 6.825045E-03	 -1.576030E-03	 6.082883E-03	 5.296664E-03	 8.126553E-03	 -3.262652E-03	 8.500701E-03	 -7.880149E-04	 3.041441E-03	 2.275888E-03	 4.499509E-03	 -4.767629E-03	 4.987535E-03	 -7.880149E-04	 3.041441E-03
1.836538E-04	 1.564060E-02	 8.328744E-03	 7.586986E-03	 6.605844E-03	 -8.053616E-03	 6.828973E-03	 -1.586166E-03	 6.090269E-03	 5.309496E-03	 8.130428E-03	 -3.279036E-03	 8.509038E-03	 -7.930832E-04	 3.045134E-03	 2.277489E-03	 4.502014E-03	 -4.774580E-03	 4.992542E-03	 -7.930832E-04	 3.045134E-03
1.853532E-04	 1.567834E-02	 8.335717E-03	 7.601348E-03	 6.608685E-03	 -8.076996E-03	 6.832580E-03	 -1.596392E-03	 6.097466E-03	 5.322232E-03	 8.134000E-03	 -3.295472E-03	 8.517040E-03	 -7.981958E-04	 3.048733E-03	 2.279116E-03	 4.504332E-03	 -4.781523E-03	 4.997443E-03	 -7.981958E-04	 3.048733E-03
1.870682E-04	 1.571606E-02	 8.342359E-03	 7.615638E-03	 6.611239E-03	 -8.100421E-03	 6.835854E-03	 -1.606707E-03	 6.104469E-03	 5.334868E-03	 8.137259E-03	 -3.311960E-03	 8.524693E-03	 -8.033537E-04	 3.052235E-03	 2.280771E-03	 4.506457E-03	 -4.788461E-03	 5.002237E-03	 -8.033537E-04	 3.052235E-03
