NNPDFpol 1.1, Q = 1.581 GeV
x	 x(uv-dv)	 error	 x(u+-d+)	 error
1.066596E-03	 9.358937E-03	 1.647727E-02	 2.692130E-02	 1.980198E-02
1.076465E-03	 9.414939E-03	 1.649008E-02	 2.699133E-02	 1.981767E-02
1.086426E-03	 9.470877E-03	 1.650288E-02	 2.706163E-02	 1.983348E-02
1.096478E-03	 9.526722E-03	 1.651565E-02	 2.713219E-02	 1.984944E-02
1.106624E-03	 9.582443E-03	 1.652839E-02	 2.720302E-02	 1.986557E-02
1.116863E-03	 9.638010E-03	 1.654108E-02	 2.727413E-02	 1.988189E-02
1.127197E-03	 9.693395E-03	 1.655369E-02	 2.734550E-02	 1.989843E-02
1.137627E-03	 9.748566E-03	 1.656622E-02	 2.741715E-02	 1.991521E-02
1.148154E-03	 9.803494E-03	 1.657865E-02	 2.748908E-02	 1.993226E-02
1.158777E-03	 9.858149E-03	 1.659097E-02	 2.756129E-02	 1.994961E-02
1.169499E-03	 9.912502E-03	 1.660316E-02	 2.763379E-02	 1.996727E-02
1.180321E-03	 9.966521E-03	 1.661520E-02	 2.770656E-02	 1.998527E-02
1.191242E-03	 1.002018E-02	 1.662710E-02	 2.777963E-02	 2.000363E-02
1.202264E-03	 1.007344E-02	 1.663883E-02	 2.785299E-02	 2.002239E-02
1.213389E-03	 1.012623E-02	 1.665039E-02	 2.792659E-02	 2.004159E-02
1.224616E-03	 1.017851E-02	 1.666182E-02	 2.800040E-02	 2.006121E-02
1.235947E-03	 1.023033E-02	 1.667316E-02	 2.807443E-02	 2.008124E-02
1.247384E-03	 1.028174E-02	 1.668447E-02	 2.814870E-02	 2.010165E-02
1.258925E-03	 1.033280E-02	 1.669579E-02	 2.822321E-02	 2.012240E-02
1.270574E-03	 1.038355E-02	 1.670719E-02	 2.829798E-02	 2.014347E-02
1.282331E-03	 1.043404E-02	 1.671870E-02	 2.837301E-02	 2.016483E-02
1.294196E-03	 1.048433E-02	 1.673036E-02	 2.844833E-02	 2.018645E-02
1.306171E-03	 1.053446E-02	 1.674222E-02	 2.852394E-02	 2.020829E-02
1.318257E-03	 1.058448E-02	 1.675431E-02	 2.859985E-02	 2.023034E-02
1.330454E-03	 1.063445E-02	 1.676667E-02	 2.867608E-02	 2.025256E-02
1.342765E-03	 1.068442E-02	 1.677933E-02	 2.875264E-02	 2.027492E-02
1.355189E-03	 1.073443E-02	 1.679232E-02	 2.882953E-02	 2.029738E-02
1.367729E-03	 1.078453E-02	 1.680567E-02	 2.890678E-02	 2.031993E-02
1.380384E-03	 1.083478E-02	 1.681940E-02	 2.898439E-02	 2.034253E-02
