Q2,q4f1d,q4f1dA,q4f1dB,q4f1u,q4f1uA,q4f1uB,q6f2d,q6f2dA,q6f2dB,q6f2u,q6f2uA,q6f2uB
5.513102620524105,0.14051743954083154,0.11521943942486676,0.1592887335216722,1.1884434910324426,1.1645381539910094,1.1806927765916928,-1.995373023359075,-1.8186036777528691,-2.107762092748607,1.8775423845880295,1.7850504040375892,1.739338797474822
5.521104220844169,0.1404116383264384,0.11509274419407989,0.15919446179049154,1.1889808920040534,1.1650454690082857,1.1812210940313799,-1.9970549789899805,-1.8198441677697357,-2.1096797344680684,1.8792535131222634,1.7865029745869636,1.7409232334120344
5.529105821164233,0.1403059505780504,0.11496625768067648,0.15910024218965813,1.1895171627316026,1.1655517516533778,1.1817482572096827,-1.9987340648833447,-1.8210820462332489,-2.1115942624689668,1.880961886297996,1.7879529386683046,1.7425050985416255
5.537107421484297,0.14020037638616126,0.11483997967786495,0.1590060750362654,1.1900523068321374,1.166057005272291,1.1822742698791082,-2.000410288219758,-1.8223173213608816,-2.1135056837243615,1.882667510373896,1.7894003032387216,1.7440843986120484
5.545109021804361,0.1400949158385461,0.1147139099768029,0.1589119606439514,1.1905863279070885,1.1665612331958797,1.1827991357760608,-2.0020836561579953,-1.8235500013391877,-2.115414005189761,1.8843703915923327,1.7908450752329916,1.745661139357335
5.553110622124425,0.13998956902028806,0.11458804836662681,0.15881789932292714,1.1911192295423492,1.1670644387399345,1.1833228586209181,-2.003754175835059,-1.8247800943239216,-2.117319233803142,1.8860705361793852,1.7922872615636278,1.7472353264971108
5.561112222444489,0.139884336013806,0.11446239463448143,0.15872389138000675,1.1916510153083657,1.1675666252052648,1.1838454421181255,-2.005421854366231,-1.8260076084401506,-2.119221376484987,1.887767950344867,1.7937268691209405,1.7488069657366228
5.569113822764553,0.13977921689888362,0.11433694856554989,0.15862993711863754,1.1921816887602188,1.1680677958777927,1.184366889956274,-2.0070866988451534,-1.8272325517823818,-2.1211204401383315,1.8894626402823735,1.7951639047731152,1.750376062766781
5.577115423084617,0.13967421175269695,0.1142117099430824,0.1585360368389271,1.1927112534377027,1.168567954028635,1.184887205808187,-2.0087487163438897,-1.828454932414676,-2.123016431648765,1.891154612169309,1.7965983753662773,1.751942623264159
5.585117023404681,0.13956932064984257,0.11408667854842491,0.15844219083767497,1.1932397128654164,1.1690671029141835,1.185406393331003,-2.010407913913001,-1.8296747583707629,-2.124909357884507,1.8928438721669343,1.7980302877245586,1.7535066528910541
5.593118623724745,0.13946454366236413,0.11396185416104819,0.15834839940839746,1.1937670705528372,1.1695652457762007,1.1859244561662572,-2.0120642985815977,-1.8308920376541686,-2.126799225696392,1.8945304264203853,1.7994596486501737,1.755068157295476
5.601120224044809,0.1393598808597784,0.11383723655857549,0.1582546628413595,1.194293329994407,1.1700623858418953,1.1864413979399653,-2.0137178773573927,-1.8321067782383207,-2.128686041917946,1.8962142810586973,1.8008864649234761,1.7566271421112092
5.609121824364873,0.13925533230910278,0.11371282551681039,0.15816098142359908,1.1948184946696114,1.1705585263240061,1.1869572222627045,-2.015368657226776,-1.8333189880666727,-2.1305698133653768,1.8978954421948495,1.8023107433030374,1.7581836129578032
5.617123424684937,0.13915089807488326,0.11358862080976481,0.1580673554389575,1.1953425680430625,1.1710536704208907,1.1874719327296932,-2.017016645154906,-1.8345286750528205,-2.1324505468376396,1.8995739159258196,1.8037324905257117,1.759737575440629
5.625125025005001,0.13904657821921768,0.11346462220968602,0.15797378516810556,1.195865553564574,1.1715478213166022,1.1879855329208753,-2.0186618480857237,-1.8357358470806167,-2.1343282491164515,1.9012497083325777,1.8051517133067052,1.7612890351508883
5.633126625325065,0.13894237280178443,0.11334082948708335,0.1578802708885711,1.196387454669247,1.1720409821809714,1.1884980264009974,-2.0203042729420617,-1.8369405120042825,-2.136202926966329,1.9029228254801531,1.806568418339637,1.7628379976656459
5.641128225645129,0.13883828187986583,0.11321724241075526,0.1577868128747669,1.196908274777544,1.172533156169693,1.189009416719686,-2.021943926625677,-1.83814267764853,-2.138074587134637,1.9045932734176483,1.807982612296618,1.764384468547866
5.649129825965193,0.13873430550837415,0.11309386074781641,0.15769341139801646,1.1974280172953677,1.1730243464244012,1.1895197074115382,-2.0235808160173163,-1.8393423518086858,-2.139943236351604,1.9062610581782682,1.8093943018283225,1.7659284533464297
