model:2	Q0^2=1.12	Q^2=1.12 GeV^2
x  xuv  xdv  xu  xd  xs  xc  xb  xg  xub  xdb  xsb  xcb  xbb
1.629296E-04  1.582098E-02  9.305815E-03  1.799213E-02  1.147696E-02  -4.196232E-10  0.000000E+00  0.000000E+00  -2.318102E-08  2.171143E-03  2.171143E-03  -3.924752E-10  0.000000E+00  0.000000E+00
1.644372E-04  1.589428E-02  9.348922E-03  1.807548E-02  1.153012E-02  -4.180356E-10  0.000000E+00  0.000000E+00  -2.310374E-08  2.181198E-03  2.181198E-03  -3.907923E-10  0.000000E+00  0.000000E+00
1.659587E-04  1.596792E-02  9.392230E-03  1.815922E-02  1.158353E-02  -4.164501E-10  0.000000E+00  0.000000E+00  -2.302603E-08  2.191301E-03  2.191301E-03  -3.891112E-10  0.000000E+00  0.000000E+00
1.674943E-04  1.604190E-02  9.435740E-03  1.824335E-02  1.163719E-02  -4.148665E-10  0.000000E+00  0.000000E+00  -2.294789E-08  2.201450E-03  2.201450E-03  -3.874321E-10  0.000000E+00  0.000000E+00
1.690441E-04  1.611623E-02  9.479452E-03  1.832788E-02  1.169110E-02  -4.132851E-10  0.000000E+00  0.000000E+00  -2.286931E-08  2.211646E-03  2.211646E-03  -3.857550E-10  0.000000E+00  0.000000E+00
1.706082E-04  1.619090E-02  9.523369E-03  1.841279E-02  1.174526E-02  -4.117056E-10  0.000000E+00  0.000000E+00  -2.279031E-08  2.221890E-03  2.221890E-03  -3.840798E-10  0.000000E+00  0.000000E+00
1.721869E-04  1.626593E-02  9.567490E-03  1.849811E-02  1.179967E-02  -4.101282E-10  0.000000E+00  0.000000E+00  -2.271088E-08  2.232182E-03  2.232182E-03  -3.824065E-10  0.000000E+00  0.000000E+00
1.737801E-04  1.634130E-02  9.611817E-03  1.858382E-02  1.185434E-02  -4.085528E-10  0.000000E+00  0.000000E+00  -2.263102E-08  2.242522E-03  2.242522E-03  -3.807352E-10  0.000000E+00  0.000000E+00
1.753881E-04  1.641702E-02  9.656350E-03  1.866993E-02  1.190926E-02  -4.069794E-10  0.000000E+00  0.000000E+00  -2.255075E-08  2.252910E-03  2.252910E-03  -3.790659E-10  0.000000E+00  0.000000E+00
1.770109E-04  1.649310E-02  9.701091E-03  1.875644E-02  1.196444E-02  -4.054081E-10  0.000000E+00  0.000000E+00  -2.247006E-08  2.263346E-03  2.263346E-03  -3.773985E-10  0.000000E+00  0.000000E+00
1.786488E-04  1.656953E-02  9.746041E-03  1.884336E-02  1.201987E-02  -4.038388E-10  0.000000E+00  0.000000E+00  -2.238895E-08  2.273831E-03  2.273831E-03  -3.757331E-10  0.000000E+00  0.000000E+00
1.803018E-04  1.664632E-02  9.791201E-03  1.893068E-02  1.207557E-02  -4.022716E-10  0.000000E+00  0.000000E+00  -2.230743E-08  2.284365E-03  2.284365E-03  -3.740697E-10  0.000000E+00  0.000000E+00
1.819701E-04  1.672347E-02  9.836571E-03  1.901841E-02  1.213152E-02  -4.007064E-10  0.000000E+00  0.000000E+00  -2.222550E-08  2.294948E-03  2.294948E-03  -3.724082E-10  0.000000E+00  0.000000E+00
1.836538E-04  1.680097E-02  9.882153E-03  1.910655E-02  1.218773E-02  -3.991433E-10  0.000000E+00  0.000000E+00  -2.214317E-08  2.305580E-03  2.305580E-03  -3.707488E-10  0.000000E+00  0.000000E+00
1.853532E-04  1.687884E-02  9.927947E-03  1.919510E-02  1.224421E-02  -3.975822E-10  0.000000E+00  0.000000E+00  -2.206043E-08  2.316262E-03  2.316262E-03  -3.690913E-10  0.000000E+00  0.000000E+00
1.870682E-04  1.695707E-02  9.973955E-03  1.928407E-02  1.230095E-02  -3.960232E-10  0.000000E+00  0.000000E+00  -2.197729E-08  2.326993E-03  2.326993E-03  -3.674358E-10  0.000000E+00  0.000000E+00
1.887991E-04  1.703567E-02  1.002018E-02  1.937345E-02  1.235795E-02  -3.944662E-10  0.000000E+00  0.000000E+00  -2.189375E-08  2.337775E-03  2.337775E-03  -3.657824E-10  0.000000E+00  0.000000E+00
1.905461E-04  1.711464E-02  1.006662E-02  1.946324E-02  1.241522E-02  -3.929113E-10  0.000000E+00  0.000000E+00  -2.180982E-08  2.348607E-03  2.348607E-03  -3.641309E-10  0.000000E+00  0.000000E+00
1.923092E-04  1.719397E-02  1.011327E-02  1.955346E-02  1.247276E-02  -3.913584E-10  0.000000E+00  0.000000E+00  -2.172550E-08  2.359489E-03  2.359489E-03  -3.624815E-10  0.000000E+00  0.000000E+00
1.940886E-04  1.727367E-02  1.016014E-02  1.964410E-02  1.253057E-02  -3.898076E-10  0.000000E+00  0.000000E+00  -2.164078E-08  2.370422E-03  2.370422E-03  -3.608341E-10  0.000000E+00  0.000000E+00
1.958845E-04  1.735375E-02  1.020724E-02  1.973516E-02  1.258864E-02  -3.882589E-10  0.000000E+00  0.000000E+00  -2.155568E-08  2.381406E-03  2.381406E-03  -3.591887E-10  0.000000E+00  0.000000E+00
1.976970E-04  1.743420E-02  1.025455E-02  1.982664E-02  1.264699E-02  -3.867123E-10  0.000000E+00  0.000000E+00  -2.147019E-08  2.392442E-03  2.392442E-03  -3.575453E-10  0.000000E+00  0.000000E+00
1.995262E-04  1.751502E-02  1.030208E-02  1.991855E-02  1.270561E-02  -3.851677E-10  0.000000E+00  0.000000E+00  -2.138433E-08  2.403529E-03  2.403529E-03  -3.559040E-10  0.000000E+00  0.000000E+00
2.013724E-04  1.759623E-02  1.034983E-02  2.001089E-02  1.276450E-02  -3.836253E-10  0.000000E+00  0.000000E+00  -2.129808E-08  2.414667E-03  2.414667E-03  -3.542647E-10  0.000000E+00  0.000000E+00
2.032357E-04  1.767781E-02  1.039781E-02  2.010367E-02  1.282367E-02  -3.820849E-10  0.000000E+00  0.000000E+00  -2.121146E-08  2.425858E-03  2.425858E-03  -3.526275E-10  0.000000E+00  0.000000E+00
2.051162E-04  1.775977E-02  1.044601E-02  2.019687E-02  1.288311E-02  -3.805466E-10  0.000000E+00  0.000000E+00  -2.112446E-08  2.437101E-03  2.437101E-03  -3.509923E-10  0.000000E+00  0.000000E+00
2.070141E-04  1.784212E-02  1.049444E-02  2.029052E-02  1.294283E-02  -3.790104E-10  0.000000E+00  0.000000E+00  -2.103710E-08  2.448396E-03  2.448396E-03  -3.493592E-10  0.000000E+00  0.000000E+00
2.089296E-04  1.792485E-02  1.054309E-02  2.038459E-02  1.300284E-02  -3.774763E-10  0.000000E+00  0.000000E+00  -2.094937E-08  2.459744E-03  2.459744E-03  -3.477282E-10  0.000000E+00  0.000000E+00
2.108628E-04  1.800797E-02  1.059197E-02  2.047911E-02  1.306312E-02  -3.759443E-10  0.000000E+00  0.000000E+00  -2.086128E-08  2.471145E-03  2.471145E-03  -3.460992E-10  0.000000E+00  0.000000E+00
2.128139E-04  1.809147E-02  1.064108E-02  2.057407E-02  1.312368E-02  -3.744144E-10  0.000000E+00  0.000000E+00  -2.077282E-08  2.482599E-03  2.482599E-03  -3.444724E-10  0.000000E+00  0.000000E+00
2.147830E-04  1.817537E-02  1.069042E-02  2.066948E-02  1.318452E-02  -3.728867E-10  0.000000E+00  0.000000E+00  -2.068400E-08  2.494107E-03  2.494107E-03  -3.428476E-10  0.000000E+00  0.000000E+00
2.167704E-04  1.825966E-02  1.073998E-02  2.076533E-02  1.324565E-02  -3.713610E-10  0.000000E+00  0.000000E+00  -2.059483E-08  2.505668E-03  2.505668E-03  -3.412250E-10  0.000000E+00  0.000000E+00
2.187762E-04  1.834434E-02  1.078978E-02  2.086163E-02  1.330707E-02  -3.698375E-10  0.000000E+00  0.000000E+00  -2.050531E-08  2.517283E-03  2.517283E-03  -3.396044E-10  0.000000E+00  0.000000E+00
2.208005E-04  1.842942E-02  1.083982E-02  2.095837E-02  1.336877E-02  -3.683161E-10  0.000000E+00  0.000000E+00  -2.041544E-08  2.528953E-03  2.528953E-03  -3.379860E-10  0.000000E+00  0.000000E+00
2.228435E-04  1.851490E-02  1.089008E-02  2.105557E-02  1.343076E-02  -3.667968E-10  0.000000E+00  0.000000E+00  -2.032522E-08  2.540677E-03  2.540677E-03  -3.363697E-10  0.000000E+00  0.000000E+00
2.249055E-04  1.860077E-02  1.094058E-02  2.115323E-02  1.349304E-02  -3.652797E-10  0.000000E+00  0.000000E+00  -2.023466E-08  2.552456E-03  2.552456E-03  -3.347555E-10  0.000000E+00  0.000000E+00
2.269865E-04  1.868705E-02  1.099132E-02  2.125134E-02  1.355561E-02  -3.637648E-10  0.000000E+00  0.000000E+00  -2.014375E-08  2.564290E-03  2.564290E-03  -3.331435E-10  0.000000E+00  0.000000E+00
